hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
0346e5e1,fr,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6674314141273499,0.590938925743103,0.1507807374000549,0.9992705583572388
d77eca26,fr,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6688188910484314,0.5308244228363037,0.1307615637779235,0.9985702633857728
cb262021,fr,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7518059611320496,0.4209400117397308,0.1016891673207283,0.998049020767212
5d21cdb9,fr,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179543852806092,0.8313489556312561,0.2239361405372619,0.9853476285934448
226a1496,fr,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6935294270515442,0.4609693884849548,0.1132733523845672,0.9958010911941528
8db5b72f,fr,64,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6922239661216736,0.4605668783187866,0.1131948009133338,0.9958118796348572
8db5b72f,fr,64,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6922239661216736,0.4605668783187866,0.1131948009133338,0.9958118796348572
3a31f388,fr,128,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6683812141418457,0.5303843021392822,0.130662590265274,0.9985700845718384
3a31f388,fr,128,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6683812141418457,0.5303843021392822,0.130662590265274,0.9985700845718384
9123938b,fr,256,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6673657298088074,0.591010332107544,0.1508034765720367,0.9992709159851074
9123938b,fr,256,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6673657298088074,0.591010332107544,0.1508034765720367,0.9992709159851074
491f4d12,fr,512,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179583787918092,0.8313596844673157,0.2239388078451156,0.9853484034538268
491f4d12,fr,512,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179583787918092,0.8313596844673157,0.2239388078451156,0.9853484034538268
5db28766,fr,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.748973548412323,0.4218825995922088,0.1018979772925376,0.99806547164917
5db28766,fr,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.748973548412323,0.4218825995922088,0.1018979772925376,0.99806547164917
ab17c719,fr,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.5642573237419128,0.3432947695255279,0.0841824635863304,0.9952634572982788
ab17c719,fr,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.5642573237419128,0.3432947695255279,0.0841824635863304,0.9952634572982788
91466bac,fr,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6771126985549927,0.5315623879432678,0.1307443380355835,0.9985306859016418
91466bac,fr,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6771126985549927,0.5315623879432678,0.1307443380355835,0.9985306859016418
