Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model,DMD:0_3D,DMD:1_3D,DMD:2_3D
gnode,gnode_2_0,0,-0.45117162570270103,0.012362137542282018,gnode,2,False,-0.07216202319544261,-0.652396560047211,-0.17608734296615774
gnode,gnode_2_bc117a87,bc117a87,0.4439443239913491,-0.4527928988948558,gnode,2,False,0.3069010471054754,0.31199494805998795,-0.48505971659542907
gnode,gnode_2_9cc4086f,9cc4086f,-0.36697787776453716,-0.10253460924192463,gnode,2,False,-0.4692547756790181,-0.249666771653005,-0.3448949367856143
gnode,gnode_2_17674d60,17674d60,0.41016262093797173,-0.3611883315697723,gnode,2,False,-0.5326794666739003,-0.4184204488602831,-0.10584617026066448
gnode,gnode_2_1a48ba60,1a48ba60,0.35993878191782014,0.5490525907904626,gnode,2,False,-0.22280127207784262,-0.6394339019295702,-0.06320569718665033
gnode,gnode_2_9ece096c,9ece096c,-0.4835129308646028,0.39264812899452733,gnode,2,False,0.15625450178709643,-0.5970135336844571,0.2745278427953351
gnode,gnode_2_44c5a780,44c5a780,-0.25703466653865065,-0.4397217824316206,gnode,2,False,-0.35057289272983383,0.4142409819886248,-0.4120447216489825
gnode,gnode_2_b4f82c0b,b4f82c0b,-0.3882665650755322,0.4890237544162211,gnode,2,False,0.013842520296360855,0.5418954969456048,0.4054287406813785
gnode,gnode_2_7abbc004,7abbc004,-0.4218918322649503,0.5375543082324037,gnode,2,False,0.1362523842500846,0.07830143756863099,0.6653603588333555
gnode,gnode_2_dd3e2bf4,dd3e2bf4,0.5043318345164758,-0.10885679427406887,gnode,2,False,-0.333694489335617,-0.24269041930701088,0.5348838207093998
gnode,gnode_2_f08b836b,f08b836b,-0.5447088431139517,0.125050830717976,gnode,2,False,-0.44316830799645596,0.21554904617535547,-0.4673457245240063
gnode,gnode_2_04121e4c,04121e4c,0.04054408861619851,-0.20015073080668022,gnode,2,False,-0.44073042878507956,0.30196239102540057,0.4187925020794893
gnode,gnode_2_e3ce27b6,e3ce27b6,0.14876653956949304,-0.5831404423999715,gnode,2,False,0.25015012925755775,0.3991854132436948,-0.4955393192698725
gnode,gnode_2_caa67dc7,caa67dc7,0.4567625748388475,0.2030978077446753,gnode,2,False,0.33341146209546424,-0.5738588198419661,0.09889369386098952
gnode,gnode_2_488a7510,488a7510,-0.11502104418743007,-0.06259181902818822,gnode,2,False,-0.26929972240331873,0.2779072149305222,0.5547617832058732
gnode,gnode_2_63d789d4,63d789d4,-0.01491129499900028,0.14355577862227759,gnode,2,False,-0.05916592316173225,-0.5140069958381068,0.43481834633839167
gnode,gnode_2_65ff784b,65ff784b,0.602895810189774,0.1509639954758426,gnode,2,False,-0.20622664128376914,-0.5942256818797523,-0.23817608550465424
gnode,gnode_2_b517bd66,b517bd66,-0.4525948841480471,0.09273270392850703,gnode,2,False,-0.11378145898189444,-0.6397261303222512,0.19484893039053638
gnode,gnode_2_5de5ff74,5de5ff74,0.5790373459251633,0.18707945269791215,gnode,2,False,0.024009291433150982,0.6034136910134069,-0.3072302625219795
gnode,gnode_2_4f494e9c,4f494e9c,-0.09566345440503271,0.28771250800273424,gnode,2,False,0.18081039750435576,0.1918435795288829,-0.6245583653722714
gnode,gnode_2_0886bc04,0886bc04,0.38520865832013634,-0.4154923857825102,gnode,2,False,-0.45927921207010697,-0.4982824402378874,-0.02160631583578016
gnode,gnode_2_27e32749,27e32749,0.22662358502587104,-0.48952831175867045,gnode,2,False,0.30588817034057514,-0.5349725336139711,-0.25980375974703035
gnode,gnode_2_15c2274e,15c2274e,-0.13115383661628996,0.02063333244661994,gnode,2,False,0.08234781182527798,0.6400125846908603,0.1886998726041993
gnode,gnode_2_8e24d1b7,8e24d1b7,0.20783778595487734,-0.2827576262180579,gnode,2,False,-0.13073244706051054,0.6648183309943926,-0.02847713279201268
gnode,gnode_2_3d1d193b,3d1d193b,0.32718936660832637,0.050928472592257905,gnode,2,False,0.20334455941881435,-0.34291171215828015,-0.5468126509706005
gnode,gnode_2_6f68cc36,6f68cc36,-0.32013739849035955,0.5827007282953287,gnode,2,False,0.4156150152837299,0.5233181051751508,-0.1517644950251346
gnode,gnode_2_7f66f908,7f66f908,0.15090086045515586,-0.4457865445651231,gnode,2,False,0.16028497975239225,0.521887214853463,-0.3970820311430615
gnode,gnode_2_d7c4a37a,d7c4a37a,0.27512342977942883,-0.10156171198587258,gnode,2,False,-0.13423343865380896,-0.4609472995402875,-0.4793279678882106
gnode,gnode_2_c13a73bf,c13a73bf,-0.2669157793551446,-0.2397023254685073,gnode,2,False,-0.2962269867281211,0.44248807488040043,-0.21201570238936618
gnode,gnode_2_d566470b,d566470b,-0.48021978136896487,-0.14537023523261675,gnode,2,False,-0.667488764388476,0.125500806894355,0.022170769999974093
gnode,gnode_2_d4dfdc16,d4dfdc16,-0.4423256012464906,0.47233532170240805,gnode,2,False,-0.02333039144201448,-0.30434965017205423,-0.5765070629329028
gnode,gnode_2_53b7548a,53b7548a,0.18126120130879408,-0.14282552920688157,gnode,2,False,-0.052847538157748716,-0.08457594346726476,0.6736956517449258
gnode,gnode_2_932a575d,932a575d,-0.4268200024269566,-0.14767855753320633,gnode,2,False,-0.643293618765805,-0.08049413418120381,0.1937367253314292
gnode,gnode_2_c7a1b705,c7a1b705,-0.5407282609708396,0.3332276160805465,gnode,2,False,-0.0010876091413503158,-0.3730804643878328,0.566758556014009
